Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-14,AAPL,334.83,335.50,331.34,333.08,38702066.00,0.24
2026-09-14,AMZN,253.38,255.95,250.75,253.54,33318851.00,-1.26
2026-09-14,AVGO,349.46,350.25,343.91,344.72,31899307.00,-4.77
2026-09-14,BRK-B,512.80,516.45,510.73,514.95,3957123.00,0.90
2026-09-14,GLD,391.89,395.89,390.96,392.84,7347570.00,-1.49
2026-09-14,GOOGL,343.20,349.90,342.28,349.39,35092727.00,3.22
2026-09-14,JNJ,271.00,271.54,266.22,266.32,4660107.00,0.28
2026-09-14,KMI,31.07,31.39,30.65,30.96,14529258.00,0.32
2026-09-14,META,657.62,668.60,649.25,665.60,19270307.00,2.71
2026-09-14,MSFT,497.50,509.93,495.34,505.41,23020956.00,1.97
2026-09-14,NDAQ,92.22,92.38,90.92,91.57,2480505.00,0.42
2026-09-14,NUGT,170.56,175.30,167.00,171.74,669525.00,-6.03
2026-09-14,NVDA,211.08,212.77,208.93,210.96,131608711.00,-3.36
2026-09-14,OXY,62.54,62.97,61.47,61.78,9036011.00,0.52
2026-09-14,PLTR,169.70,174.36,166.42,173.31,28989342.00,3.64
2026-09-14,PPLT,15.99,16.12,15.81,15.90,2078996.00,-2.21
2026-09-14,QQQ,703.29,712.95,702.75,709.18,34618101.00,-0.80
2026-09-14,QQQM,289.55,293.53,289.36,292.02,3751886.00,-0.81
2026-09-14,SMCI,37.42,38.10,36.38,36.74,39661769.00,-8.38
2026-09-14,SPCX,147.24,152.56,146.61,148.15,67544758.00,-2.02
2026-09-14,SPY,759.00,763.52,757.93,760.88,43542700.00,-0.45
2026-09-14,SPYM,89.12,89.64,88.98,89.32,13420026.00,-0.45
2026-09-14,TSLA,359.95,367.73,357.04,358.97,32337601.00,-1.77
2026-09-14,XLK,183.00,185.59,182.08,184.28,8458066.00,-1.81
