Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-07-28,AAPL,340.03,342.89,335.60,340.08,50765695.00,0.94
2026-07-28,AMZN,232.85,233.11,228.10,230.86,42368131.00,-0.23
2026-07-28,AVGO,374.23,385.80,371.52,380.91,20238808.00,-0.60
2026-07-28,BRK-B,500.33,513.39,499.50,512.37,4803011.00,3.06
2026-07-28,GLD,369.61,371.23,367.98,369.37,4399564.00,-1.40
2026-07-28,GOOGL,327.90,335.88,324.44,333.71,27157077.00,2.19
2026-07-28,IGLN.L,78.54,78.64,77.83,78.26,348798.00,-0.95
2026-07-28,JNJ,270.00,274.89,266.18,266.73,10390341.00,0.29
2026-07-28,KMI,31.95,32.20,31.55,31.61,6967165.00,-0.44
2026-07-28,META,595.90,601.00,587.00,593.41,10870647.00,-0.08
2026-07-28,MSFT,393.16,400.32,391.30,393.35,32162591.00,1.09
2026-07-28,NDAQ,94.62,96.77,93.52,95.96,4096348.00,2.15
2026-07-28,NUGT,112.30,114.25,108.97,111.68,373955.00,-3.71
2026-07-28,NVDA,194.95,198.70,192.74,197.01,125138253.00,0.25
2026-07-28,OXY,55.00,55.42,53.75,53.93,6333936.00,-1.82
2026-07-28,PLTR,125.82,127.18,117.89,123.53,42804212.00,-6.08
2026-07-28,PPLT,14.50,14.70,14.35,14.54,2109585.00,-1.29
2026-07-28,QQQ,676.19,679.40,667.88,675.49,49675490.00,-0.97
2026-07-28,QQQM,278.35,279.71,274.99,278.14,3701644.00,-0.97
2026-07-28,SMCI,28.61,28.87,27.13,28.45,36118334.00,-4.56
2026-07-28,SPCX,109.32,118.13,107.01,116.41,80968276.00,2.56
2026-07-28,SPY,739.19,742.79,735.98,740.86,40901869.00,0.24
2026-07-28,SPYM,87.00,87.43,86.63,87.19,10653245.00,0.23
2026-07-28,TSLA,305.92,311.15,300.69,307.44,38773921.00,-0.58
2026-07-28,XLK,171.21,172.17,167.56,171.09,9900854.00,-1.84
