Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-07-29,AAPL,339.69,344.57,337.35,338.19,48852885.00,-0.56
2026-07-29,AMZN,229.32,232.82,226.16,226.65,39985089.00,-1.82
2026-07-29,AVGO,379.20,386.12,369.51,370.32,21073707.00,-2.78
2026-07-29,BRK-B,511.44,513.36,507.20,509.16,4985337.00,-0.63
2026-07-29,GLD,368.29,377.62,366.53,371.08,11576915.00,0.46
2026-07-29,GOOGL,334.67,342.50,331.62,336.71,26972279.00,0.90
2026-07-29,IGLN.L,78.39,78.51,77.51,77.81,165878.00,-0.57
2026-07-29,JNJ,268.50,269.34,264.79,265.53,5951278.00,-0.45
2026-07-29,KMI,32.10,32.28,31.62,31.85,7022427.00,0.76
2026-07-29,META,593.25,599.97,582.22,585.61,19895887.00,-1.31
2026-07-29,MSFT,393.40,401.25,388.74,390.54,42418496.00,-0.71
2026-07-29,NDAQ,95.50,96.87,95.35,95.55,3021741.00,-0.43
2026-07-29,NUGT,110.55,116.88,105.43,109.73,944793.00,-1.75
2026-07-29,NVDA,195.85,197.07,190.01,190.01,136609393.00,-3.55
2026-07-29,OXY,55.72,56.31,55.34,56.03,7848179.00,3.89
2026-07-29,PLTR,124.00,127.28,122.45,123.00,25685217.00,-0.43
2026-07-29,PPLT,14.39,14.86,14.30,14.59,1301865.00,0.34
2026-07-29,QQQ,675.51,680.05,661.14,661.73,51059473.00,-2.04
2026-07-29,QQQM,278.03,280.00,272.23,272.51,4208441.00,-2.02
2026-07-29,SMCI,28.03,28.07,25.68,25.70,39299285.00,-9.67
2026-07-29,SPCX,114.39,117.59,110.35,112.55,52607375.00,-3.32
2026-07-29,SPY,739.97,742.67,729.10,729.46,69069318.00,-1.54
2026-07-29,SPYM,87.09,87.41,85.81,85.93,8669486.00,-1.45
2026-07-29,TSLA,307.32,309.05,297.38,298.32,38734788.00,-2.97
2026-07-29,XLK,171.12,172.50,166.46,166.57,14284107.00,-2.64
