Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-08-05,AAPL,309.36,311.71,305.67,311.00,44330978.00,0.52
2026-08-05,AMZN,281.59,282.79,270.74,272.65,42366662.00,-1.72
2026-08-05,AVGO,422.34,427.00,416.93,418.28,15710613.00,0.03
2026-08-05,BRK-B,519.00,519.77,512.20,518.85,2389999.00,0.32
2026-08-05,GLD,384.96,391.51,384.32,389.64,14717153.00,4.14
2026-08-05,GOOGL,382.94,384.47,356.82,362.43,46331184.00,-4.03
2026-08-05,IGLN.L,80.92,82.74,80.51,82.54,552988.00,4.34
2026-08-05,JNJ,255.25,259.32,254.48,257.59,6440113.00,1.04
2026-08-05,KMI,31.32,31.49,30.91,31.12,8187913.00,-0.83
2026-08-05,META,600.53,601.00,580.12,588.77,14756774.00,0.14
2026-08-05,MSFT,496.36,498.21,485.68,487.46,30476807.00,-1.09
2026-08-05,NDAQ,94.82,95.61,94.05,94.56,2213073.00,1.00
2026-08-05,NUGT,135.41,142.20,134.35,140.21,942507.00,14.65
2026-08-05,NVDA,216.86,222.22,216.40,219.22,156378175.00,3.43
2026-08-05,OXY,55.49,55.59,53.66,53.81,6715428.00,-2.32
2026-08-05,PLTR,162.05,166.06,158.25,158.43,61261948.00,-2.60
2026-08-05,PPLT,15.65,15.82,15.61,15.73,3973383.00,-0.06
2026-08-05,QQQ,726.22,728.54,716.92,717.30,32662387.00,-0.90
2026-08-05,QQQM,299.00,299.95,295.20,295.35,4654748.00,-0.90
2026-08-05,SMCI,31.68,31.73,30.30,30.32,33789623.00,-4.32
2026-08-05,SPCX,112.37,117.50,106.66,108.27,202379662.00,-13.61
2026-08-05,SPY,775.85,776.85,769.52,769.79,44246082.00,-0.20
2026-08-05,SPYM,91.32,91.44,90.58,90.61,11896691.00,-0.20
2026-08-05,TSLA,323.65,327.14,320.28,321.55,27506311.00,-1.77
2026-08-05,XLK,187.34,188.62,185.72,185.91,7500936.00,-0.53
