Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-07-30,AAPL,333.13,334.75,329.59,333.43,55501839.00,-1.41
2026-07-30,AMZN,233.25,239.82,231.06,235.50,78755052.00,3.90
2026-07-30,AVGO,380.67,388.68,377.54,387.84,21915504.00,4.73
2026-07-30,BRK-B,505.98,509.91,501.27,509.68,2979577.00,0.10
2026-07-30,GLD,374.16,377.86,373.76,377.16,5886563.00,1.64
2026-07-30,GOOGL,334.20,336.51,330.34,333.66,29924768.00,-0.91
2026-07-30,IGLN.L,78.28,79.92,78.27,79.53,261002.00,2.21
2026-07-30,JNJ,259.03,260.52,254.56,255.82,6660262.00,-3.66
2026-07-30,KMI,31.67,31.94,31.25,31.66,7870882.00,-0.60
2026-07-30,META,525.74,539.88,524.52,539.03,42028145.00,-7.95
2026-07-30,MSFT,438.50,458.69,432.44,451.10,109342280.00,15.51
2026-07-30,NDAQ,95.08,95.74,93.29,95.16,4451922.00,-0.41
2026-07-30,NUGT,114.64,119.07,111.59,118.80,519029.00,8.27
2026-07-30,NVDA,193.45,197.25,191.52,195.04,123110210.00,2.65
2026-07-30,OXY,55.04,55.97,54.73,55.95,4759049.00,-0.14
2026-07-30,PLTR,121.14,123.67,120.27,122.26,27558808.00,-0.60
2026-07-30,PPLT,14.65,15.06,14.65,15.03,2351339.00,3.02
2026-07-30,QQQ,674.69,685.12,673.30,683.55,65000770.00,3.30
2026-07-30,QQQM,277.64,282.09,277.22,281.35,3660045.00,3.24
2026-07-30,SMCI,26.80,28.17,26.65,27.73,37241621.00,7.90
2026-07-30,SPCX,115.09,118.93,111.35,112.20,54835632.00,-0.31
2026-07-30,SPY,736.05,742.45,734.59,741.69,65907594.00,1.68
2026-07-30,SPYM,86.63,87.39,86.47,87.31,7881322.00,1.61
2026-07-30,TSLA,302.89,310.87,301.35,308.85,36553979.00,3.53
2026-07-30,XLK,172.81,176.09,172.17,175.73,14833805.00,5.50
