Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-08-04,AAPL,302.73,310.42,301.32,309.38,67778746.00,1.96
2026-08-04,AMZN,276.06,281.07,275.82,277.42,69522809.00,-2.32
2026-08-04,AVGO,402.97,422.07,400.68,418.16,28050687.00,6.61
2026-08-04,BRK-B,512.07,517.76,508.81,517.22,3478913.00,0.80
2026-08-04,GLD,374.14,376.68,373.71,374.16,5592260.00,0.66
2026-08-04,GOOGL,367.65,380.52,367.54,377.65,35493839.00,1.11
2026-08-04,IGLN.L,78.81,79.42,78.47,79.11,276874.00,1.08
2026-08-04,JNJ,254.41,255.52,250.51,254.93,7256400.00,0.20
2026-08-04,KMI,30.99,31.60,30.68,31.38,12057268.00,-0.06
2026-08-04,META,581.16,592.79,578.25,587.94,16729236.00,-0.39
2026-08-04,MSFT,480.76,499.44,479.17,492.81,49565875.00,1.06
2026-08-04,NDAQ,93.28,94.82,93.27,93.62,3264963.00,-0.55
2026-08-04,NUGT,121.13,125.11,119.43,122.29,713133.00,4.91
2026-08-04,NVDA,211.49,213.06,209.05,211.94,130429698.00,2.56
2026-08-04,OXY,54.30,55.37,53.76,55.09,6632981.00,-0.69
2026-08-04,PLTR,145.15,164.51,143.28,162.66,172005673.00,29.45
2026-08-04,PPLT,15.61,15.86,15.55,15.74,5104254.00,6.64
2026-08-04,QQQ,708.21,725.65,707.59,723.85,58988820.00,3.40
2026-08-04,QQQM,291.63,298.76,291.36,298.03,4569356.00,3.39
2026-08-04,SMCI,29.60,31.84,29.07,31.69,52445555.00,10.65
2026-08-04,SPCX,117.33,126.71,115.72,125.33,113631645.00,9.43
2026-08-04,SPY,760.63,773.41,760.52,771.33,58652412.00,1.80
2026-08-04,SPYM,89.52,91.04,89.51,90.79,8936642.00,1.79
2026-08-04,TSLA,324.03,329.57,320.79,327.35,32958176.00,1.64
2026-08-04,XLK,182.52,187.71,181.87,186.90,12915410.00,4.98
