Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-17,AAPL,334.76,338.34,330.19,337.00,36423997.00,1.38
2026-09-17,AMZN,251.13,252.73,249.24,251.19,29639613.00,2.13
2026-09-17,AVGO,346.07,350.94,345.31,347.30,22973542.00,2.29
2026-09-17,BRK-B,518.95,519.96,508.84,509.20,5812012.00,-2.04
2026-09-17,GLD,400.28,401.43,398.04,398.36,7581577.00,1.69
2026-09-17,GOOGL,348.67,349.50,343.89,347.33,19151604.00,1.30
2026-09-17,IGLN.L,83.59,85.00,83.50,84.55,352032.00,0.25
2026-09-17,JNJ,268.00,270.87,267.26,270.22,6377482.00,1.10
2026-09-17,KMI,30.76,31.43,30.67,31.31,14732442.00,1.89
2026-09-17,META,682.44,683.20,667.05,682.31,15740199.00,1.34
2026-09-17,MSFT,497.80,501.47,493.27,497.75,17779010.00,1.52
2026-09-17,NDAQ,88.97,91.89,88.29,91.31,3791463.00,2.87
2026-09-17,NUGT,177.98,180.61,172.80,178.13,540210.00,6.80
2026-09-17,NVDA,218.39,219.90,217.15,219.34,92845751.00,2.54
2026-09-17,OXY,58.67,59.46,58.52,59.29,8523519.00,-0.12
2026-09-17,PLTR,175.76,177.88,172.61,176.24,22869993.00,1.09
2026-09-17,PPLT,16.15,16.27,16.04,16.06,3494791.00,1.45
2026-09-17,QQQ,716.05,718.04,713.32,716.92,36358508.00,1.73
2026-09-17,QQQM,294.87,295.65,293.76,295.20,2307534.00,1.72
2026-09-17,SMCI,38.09,41.01,37.82,40.35,62169127.00,9.50
2026-09-17,SPCX,153.76,156.87,152.63,154.81,83395289.00,2.60
2026-09-17,SPY,763.15,763.57,759.96,762.60,49288087.00,1.13
2026-09-17,SPYM,89.60,89.64,89.22,89.55,8769444.00,1.15
2026-09-17,TSLA,367.59,374.12,363.22,366.20,38770658.00,2.27
2026-09-17,XLK,187.30,188.52,186.73,188.06,7382684.00,2.25
