Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-08-03,AAPL,309.67,311.80,302.56,303.42,71988041.00,-1.78
2026-08-03,AMZN,278.29,287.16,278.00,284.02,86041006.00,4.58
2026-08-03,AVGO,384.40,392.61,374.61,392.23,17238778.00,0.76
2026-08-03,BRK-B,514.93,520.66,510.83,513.14,4202307.00,0.31
2026-08-03,GLD,370.10,372.04,368.64,371.71,4940571.00,0.05
2026-08-03,GOOGL,365.24,376.69,363.35,373.51,38121117.00,4.88
2026-08-03,IGLN.L,78.82,78.86,77.98,78.26,207107.00,-0.09
2026-08-03,JNJ,254.97,257.75,250.92,254.41,7644070.00,-0.76
2026-08-03,KMI,31.64,31.73,31.27,31.40,6249393.00,-2.42
2026-08-03,META,562.42,597.52,559.36,590.24,24169883.00,6.02
2026-08-03,MSFT,476.39,491.64,475.00,487.65,61678582.00,4.93
2026-08-03,NDAQ,94.94,95.32,93.28,94.14,3683242.00,-0.05
2026-08-03,NUGT,110.98,116.76,109.16,116.57,500751.00,5.19
2026-08-03,NVDA,197.73,208.74,196.85,206.64,127547828.00,2.93
2026-08-03,OXY,55.64,56.12,54.88,55.47,7027304.00,-2.80
2026-08-03,PLTR,126.51,126.96,123.66,125.65,67056359.00,2.10
2026-08-03,PPLT,14.62,14.77,14.59,14.76,2325559.00,-1.34
2026-08-03,QQQ,688.34,701.59,685.82,700.07,42678061.00,1.76
2026-08-03,QQQM,283.45,288.86,282.40,288.27,5282364.00,1.76
2026-08-03,SMCI,28.01,28.92,27.44,28.64,23074388.00,0.85
2026-08-03,SPCX,106.43,114.92,104.83,114.53,69388988.00,5.68
2026-08-03,SPY,749.44,758.58,748.80,757.67,51941340.00,1.42
2026-08-03,SPYM,88.20,89.29,88.17,89.19,10181986.00,1.47
2026-08-03,TSLA,311.01,324.65,310.42,322.08,37162483.00,3.49
2026-08-03,XLK,174.01,178.92,173.04,178.04,9115877.00,1.53
