Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-04,AAPL,328.30,328.93,317.86,319.97,38272821.00,-2.51
2026-09-04,AMZN,259.21,261.12,255.29,258.51,29968655.00,-0.15
2026-09-04,AVGO,360.01,360.05,353.70,357.89,32481307.00,0.21
2026-09-04,BRK-B,505.31,507.50,504.30,506.03,3273017.00,-0.41
2026-09-04,GLD,404.66,407.98,403.96,406.77,9693614.00,-0.84
2026-09-04,GOOGL,342.58,343.53,337.09,338.46,20841990.00,-1.17
2026-09-04,IGLN.L,86.57,87.10,84.69,86.12,662139.00,-1.42
2026-09-04,JNJ,275.13,277.80,274.75,275.23,3878977.00,-1.15
2026-09-04,KMI,31.44,31.58,31.07,31.40,7437488.00,-0.63
2026-09-04,META,612.49,617.46,605.27,616.77,15745973.00,1.00
2026-09-04,MSFT,510.00,511.00,499.36,499.70,17437000.00,-2.04
2026-09-04,NDAQ,97.13,97.49,96.57,96.88,1925432.00,-1.85
2026-09-04,NUGT,189.86,194.99,186.96,191.85,787261.00,-4.34
2026-09-04,NVDA,231.14,234.76,229.63,230.36,132204717.00,0.84
2026-09-04,OXY,60.12,60.36,59.35,60.04,6670364.00,-0.94
2026-09-04,PLTR,180.02,182.19,173.67,174.33,27620762.00,-4.49
2026-09-04,PPLT,16.36,16.54,16.33,16.50,1433818.00,0.06
2026-09-04,QQQ,719.36,721.86,716.56,718.96,32489892.00,0.18
2026-09-04,QQQM,296.10,297.21,295.06,296.07,2229546.00,0.19
2026-09-04,SMCI,38.21,40.91,37.92,39.59,53308923.00,4.54
2026-09-04,SPCX,148.55,150.85,147.32,147.95,48786202.00,-1.20
2026-09-04,SPY,772.01,772.87,769.00,770.19,32960393.00,-0.39
2026-09-04,SPYM,90.88,90.98,90.52,90.67,7504205.00,-0.37
2026-09-04,TSLA,362.18,364.69,351.32,354.08,64559388.00,-5.92
2026-09-04,XLK,187.19,188.20,186.42,187.28,5081462.00,0.70
