Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-08,AAPL,317.12,320.70,314.92,316.22,35028027.00,-1.17
2026-09-08,AMZN,256.76,257.99,254.75,256.97,28792611.00,-0.60
2026-09-08,AVGO,363.73,372.70,362.74,368.56,29871614.00,2.98
2026-09-08,BRK-B,503.00,507.30,500.70,505.83,4391257.00,-0.04
2026-09-08,GLD,403.56,404.27,399.48,399.72,8882554.00,-1.73
2026-09-08,GOOGL,335.42,339.67,333.22,338.36,22262778.00,-0.03
2026-09-08,IGLN.L,85.42,85.55,85.10,85.42,150461.00,-0.22
2026-09-08,JNJ,271.28,271.99,266.88,269.12,7768078.00,-2.22
2026-09-08,KMI,31.44,32.12,31.10,31.98,17757672.00,1.85
2026-09-08,META,615.88,624.80,609.74,613.48,18296627.00,-0.53
2026-09-08,MSFT,493.01,495.19,490.15,493.95,18684730.00,-1.15
2026-09-08,NDAQ,96.05,96.25,94.41,95.04,2278828.00,-1.90
2026-09-08,NUGT,190.50,195.67,188.38,188.48,450185.00,-1.76
2026-09-08,NVDA,233.21,233.71,224.85,225.73,118984635.00,-2.01
2026-09-08,OXY,61.06,62.03,60.35,60.65,6363641.00,1.02
2026-09-08,PLTR,173.10,175.82,170.02,170.30,24436325.00,-2.31
2026-09-08,PPLT,16.59,16.75,16.45,16.46,1876599.00,-0.24
2026-09-08,QQQ,720.97,721.89,715.57,718.36,27628455.00,-0.08
2026-09-08,QQQM,296.76,297.21,294.66,295.76,2422865.00,-0.10
2026-09-08,SMCI,39.73,41.53,39.68,40.26,42112848.00,1.69
2026-09-08,SPCX,148.99,154.86,145.14,153.47,85369403.00,3.73
2026-09-08,SPY,769.07,769.70,765.15,765.96,43496831.00,-0.55
2026-09-08,SPYM,90.54,90.60,90.08,90.17,29127194.00,-0.55
2026-09-08,TSLA,357.27,370.00,355.80,368.16,50850639.00,3.98
2026-09-08,XLK,188.64,189.08,187.02,187.87,8376789.00,0.32
