Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-10,AAPL,316.79,326.68,316.57,326.57,69820744.00,3.56
2026-09-10,AMZN,250.19,253.15,249.58,251.89,25371219.00,-0.20
2026-09-10,AVGO,360.02,365.27,357.79,360.83,21364163.00,-0.97
2026-09-10,BRK-B,508.74,510.55,504.74,507.00,3798783.00,0.06
2026-09-10,GLD,399.53,401.15,395.45,396.36,9924939.00,-1.73
2026-09-10,GOOGL,328.01,333.23,327.75,332.60,22782704.00,0.59
2026-09-10,IGLN.L,85.83,85.83,83.88,84.76,347468.00,-0.72
2026-09-10,JNJ,270.21,271.27,265.72,266.35,4844617.00,-0.27
2026-09-10,KMI,31.70,31.74,30.95,30.95,10773011.00,-1.46
2026-09-10,META,653.60,663.50,642.14,644.38,20418899.00,-1.42
2026-09-10,MSFT,488.32,494.52,486.00,492.44,15852734.00,0.16
2026-09-10,NDAQ,94.22,94.46,91.74,92.01,3523549.00,-2.35
2026-09-10,NUGT,180.65,184.50,177.86,179.04,725944.00,-6.97
2026-09-10,NVDA,220.49,220.99,217.20,218.36,100845811.00,-2.37
2026-09-10,OXY,62.09,62.24,60.19,61.16,8993813.00,-0.23
2026-09-10,PLTR,167.36,169.00,164.55,165.86,21080018.00,-2.16
2026-09-10,PPLT,16.37,16.48,16.08,16.13,3297311.00,-5.95
2026-09-10,QQQ,707.57,712.06,706.85,708.69,30814129.00,-1.06
2026-09-10,QQQM,291.41,293.17,291.06,291.80,2295966.00,-1.07
2026-09-10,SMCI,37.90,39.26,37.37,37.38,26247165.00,-3.98
2026-09-10,SPCX,145.10,154.70,144.89,148.18,118244140.00,0.43
2026-09-10,SPY,758.03,760.09,756.64,757.83,41846830.00,-0.60
2026-09-10,SPYM,89.23,89.46,89.07,89.21,18259115.00,-0.60
2026-09-10,TSLA,360.40,369.21,357.68,363.56,29554006.00,-1.16
2026-09-10,XLK,185.24,186.50,184.57,185.22,5544980.00,-1.41
