Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-15,AAPL,330.26,331.76,328.35,331.34,31420574.00,-0.52
2026-09-15,AMZN,252.38,253.27,247.22,248.42,35783529.00,-2.02
2026-09-15,AVGO,346.02,347.26,337.92,339.27,23370886.00,-1.58
2026-09-15,BRK-B,515.00,516.87,512.48,516.76,3728591.00,0.35
2026-09-15,GLD,393.11,395.30,391.81,394.15,6645243.00,0.33
2026-09-15,GOOGL,346.78,348.07,342.70,344.98,21480287.00,-1.26
2026-09-15,IGLN.L,83.27,83.39,82.67,83.10,191852.00,-2.04
2026-09-15,JNJ,265.81,267.20,260.68,267.20,5253227.00,0.33
2026-09-15,KMI,31.10,31.18,30.60,30.77,12772712.00,-0.61
2026-09-15,META,659.30,678.87,656.20,670.24,18598822.00,0.70
2026-09-15,MSFT,500.00,505.90,495.54,497.12,17700788.00,-1.64
2026-09-15,NDAQ,90.75,91.43,89.09,89.23,2684108.00,-2.56
2026-09-15,NUGT,173.38,174.12,167.07,171.61,408756.00,-0.08
2026-09-15,NVDA,213.09,213.94,211.16,212.17,85131691.00,0.57
2026-09-15,OXY,62.11,63.77,62.21,63.52,10290626.00,2.82
2026-09-15,PLTR,170.24,176.59,169.45,172.56,31164073.00,-0.43
2026-09-15,PPLT,16.08,16.14,15.91,16.07,2594809.00,1.07
2026-09-15,QQQ,708.76,709.53,703.64,704.54,26166846.00,-0.65
2026-09-15,QQQM,291.84,292.10,289.72,290.09,3596381.00,-0.66
2026-09-15,SMCI,36.74,37.55,35.57,35.64,26532507.00,-2.99
2026-09-15,SPCX,148.45,148.46,142.87,143.49,71511608.00,-3.15
2026-09-15,SPY,760.12,760.34,756.15,757.39,44728394.00,-0.46
2026-09-15,SPYM,89.25,89.26,88.78,88.92,8379642.00,-0.45
2026-09-15,TSLA,358.73,362.39,354.05,356.58,30215079.00,-0.67
2026-09-15,XLK,184.50,185.07,183.46,183.74,6129392.00,-0.29
