Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-09-09,AAPL,315.41,319.15,309.90,315.34,64902991.00,-0.28
2026-09-09,AMZN,253.12,254.62,250.65,252.40,32177880.00,-1.78
2026-09-09,AVGO,366.47,368.01,359.25,364.38,24562370.00,-1.13
2026-09-09,BRK-B,504.10,509.50,501.21,506.72,3313797.00,0.18
2026-09-09,GLD,406.11,406.55,401.18,403.35,8050955.00,0.91
2026-09-09,GOOGL,331.69,331.85,327.90,330.65,32730889.00,-2.28
2026-09-09,IGLN.L,85.36,85.99,84.87,85.38,267392.00,-0.05
2026-09-09,JNJ,268.51,270.10,266.73,267.08,5967693.00,-0.76
2026-09-09,KMI,32.21,32.33,31.28,31.41,11616909.00,-1.78
2026-09-09,META,648.64,657.86,638.56,653.69,35359694.00,6.55
2026-09-09,MSFT,493.07,494.39,489.80,491.65,12778304.00,-0.47
2026-09-09,NDAQ,95.15,95.33,93.92,94.22,2337358.00,-0.86
2026-09-09,NUGT,196.58,199.94,189.50,192.46,525226.00,2.11
2026-09-09,NVDA,225.27,226.18,223.46,223.67,79204871.00,-0.91
2026-09-09,OXY,61.67,62.21,61.21,61.30,8958798.00,1.07
2026-09-09,PLTR,171.32,171.86,168.61,169.53,20123908.00,-0.45
2026-09-09,PPLT,17.27,17.44,17.14,17.15,3284323.00,4.19
2026-09-09,QQQ,716.29,719.70,714.02,716.31,26405228.00,-0.29
2026-09-09,QQQM,295.00,296.27,294.01,294.97,1895355.00,-0.27
2026-09-09,SMCI,39.96,40.17,38.83,38.93,30520204.00,-3.30
2026-09-09,SPCX,151.98,153.00,145.55,147.55,120147894.00,-3.86
2026-09-09,SPY,764.08,764.47,760.94,762.40,32250970.00,-0.46
2026-09-09,SPYM,89.95,89.99,89.58,89.75,30139698.00,-0.47
2026-09-09,TSLA,368.36,375.44,367.25,367.81,32340063.00,-0.10
2026-09-09,XLK,187.53,188.83,187.16,187.87,5972161.00,-0.00
