Date,Ticker,Open,High,Low,Close,Volume,% var.
2025-01-02,AAPL,248.93,249.1,241.82,243.85,55740700.0,
2025-01-02,AMZN,222.03,225.15,218.19,220.22,33956600.0,
2025-01-02,AVGO,236.16,239.5,230.24,231.98,31525800.0,
2025-01-02,BRK-B,455.96,456.89,450.03,451.1,3746400.0,
2025-01-02,GLD,244.22,245.53,244.08,245.42,6241900.0,
2025-01-02,GOOGL,190.65,192.0,187.5,189.43,20370800.0,
2025-01-02,IGLN.L,51.42,51.66,51.13,51.62,119166.0,
2025-01-02,KMI,26.2,26.76,26.1,26.66,13891800.0,
2025-01-02,META,589.72,604.91,587.82,599.24,12682300.0,
2025-01-02,MSFT,425.53,426.07,414.85,418.58,16896500.0,
2025-01-02,NVDA,136.0,138.88,134.63,138.31,198247200.0,
2025-01-02,OXY,49.02,49.72,48.5,48.74,11808200.0,
2025-01-02,PLTR,76.2,76.53,72.42,75.19,72217200.0,
2025-01-02,PPLT,84.2,84.67,83.8,84.59,264400.0,
2025-01-02,QQQ,514.3,516.64,505.71,510.23,36389800.0,
2025-01-02,QQQM,210.58,211.5,207.05,208.88,3223300.0,
2025-01-02,SPY,589.39,591.13,580.5,584.64,50204000.0,
2025-01-02,SPYM,69.33,69.53,68.29,68.77,11112000.0,
2025-01-02,TSLA,390.1,392.73,373.04,379.28,109710700.0,
2025-01-02,XLK,117.18,117.51,114.89,115.99,12766600.0,
2025-01-03,AAPL,243.36,244.18,241.89,243.36,40244100.0,-0.2
2025-01-03,AMZN,222.51,225.36,221.62,224.19,27515600.0,1.8
2025-01-03,AVGO,233.59,236.49,229.0,232.55,24973200.0,0.25
2025-01-03,BRK-B,452.53,454.53,450.12,453.56,2884600.0,0.55
2025-01-03,GLD,244.56,244.82,243.36,243.49,4872100.0,-0.79
2025-01-03,GOOGL,191.37,193.21,189.98,191.79,18596200.0,1.25
2025-01-03,IGLN.L,51.61,51.68,51.33,51.33,81779.0,-0.56
2025-01-03,KMI,26.8,27.06,26.69,26.82,9877300.0,0.6
2025-01-03,META,604.76,609.5,596.41,604.63,11436800.0,0.9
2025-01-03,MSFT,421.08,424.03,419.54,423.35,16662900.0,1.14
