Date,Ticker,Open,High,Low,Close,Volume,% var.
2026-08-06,AAPL,314.34,316.29,309.23,312.41,45392526.00,0.45
2026-08-06,AMZN,272.77,275.48,271.08,272.26,27906615.00,-0.14
2026-08-06,AVGO,420.55,427.58,410.76,420.57,12674099.00,0.55
2026-08-06,BRK-B,524.10,525.44,517.21,524.61,4342348.00,1.11
2026-08-06,GLD,389.50,392.10,387.27,389.67,9624347.00,0.01
2026-08-06,GOOGL,360.77,364.13,356.88,357.75,24988687.00,-1.29
2026-08-06,JNJ,261.71,261.96,255.28,256.98,4302658.00,-0.24
2026-08-06,KMI,31.50,31.64,31.06,31.28,8011698.00,0.51
2026-08-06,META,586.34,595.31,585.99,589.90,11663468.00,0.19
2026-08-06,MSFT,488.89,501.55,488.52,499.86,32788866.00,2.54
2026-08-06,NDAQ,94.86,95.13,93.19,94.70,2847556.00,0.15
2026-08-06,NUGT,136.24,142.84,135.25,141.12,487833.00,0.65
2026-08-06,NVDA,221.53,223.63,217.27,218.99,113051990.00,-0.10
2026-08-06,OXY,56.43,57.35,55.82,56.04,16207079.00,4.14
2026-08-06,PLTR,155.81,158.00,152.70,155.92,38397107.00,-1.58
2026-08-06,PPLT,15.67,15.82,15.56,15.67,2794604.00,-0.38
2026-08-06,QQQ,710.76,719.32,708.50,714.65,30571597.00,-0.37
2026-08-06,QQQM,292.58,296.11,291.75,294.26,2980319.00,-0.37
2026-08-06,SMCI,29.95,30.93,29.33,29.38,26348349.00,-3.10
2026-08-06,SPCX,107.08,115.75,105.11,114.92,250825841.00,6.14
2026-08-06,SPY,770.21,771.82,767.46,768.56,33043052.00,-0.16
2026-08-06,SPYM,90.65,90.85,90.33,90.47,11483864.00,-0.15
2026-08-06,TSLA,317.05,323.00,315.52,319.53,25143733.00,-0.63
2026-08-06,XLK,183.19,186.91,182.07,185.33,6431938.00,-0.31
